Nome da Origem;Player;Nacionality;Position.1;Position.2;Age;Playing Time MP;Playing Time Starts;Playing Time Min;Playing Time 90s;Performance Gls;Performance Ast;Performance G+A;Performance G-PK;Performance PK;Performance PKatt;Performance CrdY;Performance CrdR;Expected xG;Expected npxG;Expected xAG;Expected npxG+xAG;Progression PrgC;Progression PrgP;Progression PrgR;Per 90 Minutes Gls;Per 90 Minutes Ast;Per 90 Minutes G+A;Per 90 Minutes G-PK;Per 90 Minutes G+A-PK;Per 90 Minutes xG;Per 90 Minutes xAG;Per 90 Minutes xG+xAG;Per 90 Minutes npxG;Per 90 Minutes npxG+xAG
tabela_Athletico_Paranaense.xlsx;Lucas Esquivel;ar ARG;DF;;22;33;31;2720;30,2;0;4;4;0;0;0;5;1;0,6;0,6;4,5;5,1;57;178;87;0;0,13;0,13;0;0,13;0,02;0,15;0,17;0,02;0,17
tabela_Athletico_Paranaense.xlsx;Erick;br BRA;MF;DF;26;34;30;2560;28,4;3;1;4;3;0;0;2;0;4,2;4,2;1,5;5,7;17;119;43;0,11;0,04;0,14;0,11;0,14;0,15;0,05;0,2;0,15;0,2
tabela_Athletico_Paranaense.xlsx;Kaique Rocha;br BRA;DF;;22;29;28;2486;27,6;0;1;1;0;0;0;3;0;1,4;1,4;1,3;2,8;11;84;5;0;0,04;0,04;0;0,04;0,05;0,05;0,1;0,05;0,1
tabela_Athletico_Paranaense.xlsx;Thiago Heleno;br BRA;DF;;35;26;26;2278;25,3;0;1;1;0;0;0;6;1;0,8;0,8;0,8;1,6;0;58;4;0;0,04;0,04;0;0,04;0,03;0,03;0,06;0,03;0,06
tabela_Athletico_Paranaense.xlsx;Tomás Cuello;ar ARG;FW;MF;23;32;23;2010;22,3;3;5;8;3;0;0;3;0;2,8;2,8;4,2;7;102;88;188;0,13;0,22;0,36;0,13;0,36;0,13;0,19;0,31;0,13;0,31
tabela_Athletico_Paranaense.xlsx;Leonardo Godoy;ar ARG;DF;;28;26;21;1639;18,2;1;2;3;1;0;0;5;0;0,5;0,5;1;1,4;16;61;87;0,05;0,11;0,16;0,05;0,16;0,03;0,05;0,08;0,03;0,08
tabela_Athletico_Paranaense.xlsx;Pablo;br BRA;FW;MF;31;29;20;1703;18,9;3;2;5;3;0;0;6;0;3,7;3,7;1,8;5,6;12;52;66;0,16;0,11;0,26;0,16;0,26;0,2;0,1;0,29;0,2;0,29
tabela_Athletico_Paranaense.xlsx;Nikão;br BRA;FW;MF;31;26;19;1624;18;6;2;8;6;0;0;2;0;3,6;3,6;2,9;6,5;32;89;135;0,33;0,11;0,44;0,33;0,44;0,2;0,16;0,36;0,2;0,36
tabela_Athletico_Paranaense.xlsx;Julimar;br BRA;FW;MF;23;31;17;1665;18,5;6;2;8;6;0;0;4;0;5,7;5,7;2,3;8;83;43;173;0,32;0,11;0,43;0,32;0,43;0,31;0,13;0,44;0,31;0,44
tabela_Athletico_Paranaense.xlsx;Mycael;br BRA;GK;;19;19;17;1565;17,4;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
